series,country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Computer, communications and other services (% of commercial service imports)",Turkey,TUR,30.83683106,13.63394284,11.50009069,11.57678781,11.06845809,11.42618074,15.04175744,14.45888026,15.9929804,17.84149243,17.55551953,18.06243932,20.1366415,40.18151479,41.54084252,40.43342123,39.47830347,39.10354893,38.17416567
"Computer, communications and other services (% of commercial service imports)",United States,USA,27.12135379,27.54020008,29.2211128,28.59091565,27.95705027,28.50741656,29.46390581,30.1138845,32.32840697,34.27958339,34.67700067,36.69629137,37.26179966,39.19569013,39.66380613,40.22615123,41.62064943,42.22856006,41.51372488
"Computer, communications and other services (% of commercial service imports)",United Kingdom,GBR,31.03745519,32.11697796,31.57521867,30.58227159,32.13831623,33.86304565,34.73306514,35.85226582,38.52268752,40.73680464,42.44841279,42.43524695,44.06447374,44.9278523,44.43369632,44.39296699,46.09574323,49.46534953,49.71270593
"Computer, communications and other services (% of commercial service imports)",Uruguay,URY,12.9031239,14.66706347,18.13324173,21.06092636,21.20122576,21.06249883,24.40245608,21.5023747,28.01287121,25.14240502,21.74158824,22.53928713,39.73153127,42.97124111,38.27063234,38.92575786,42.83613146,41.39510886,42.04233884
ICT goods exports (% of total goods exports),Albania,ALB,0.390665245,0.480048419,0.462800712,0.751324158,0.471102662,0.588408359,0.877188081,0.821972279,0.568616789,0.849868311,0.837278691,0.523498088,0.389402877,0.359296943,0.066223448,0.792664175,0.27242279,0.030069844,0.020071472
ICT goods exports (% of total goods exports),Algeria,DZA,0.006492008,0.001154551,0.006903652,0.00281931,0.00586092,0.00545286,0.00542578,0.002057793,0.003803644,0.001195517,0.001798993,0.00304572,0.001186158,0.000821854,0.002037303,0.002003167,0.020722989,0.02903706,
ICT goods exports (% of total goods exports),Argentina,ARG,0.362961141,0.356469048,0.4326208,0.232605992,0.223278489,0.194123113,0.256038799,0.262403807,0.207666437,0.176574978,0.111834354,0.105784209,0.106015123,0.151571896,0.23006095,0.117090419,0.089131287,0.114584361,0.059961593
ICT goods exports (% of total goods exports),Armenia,ARM,0.364419684,2.018523731,0.763592311,0.297178214,0.46402568,0.291786994,0.303283064,1.224017128,0.901785315,1.047199163,0.752851561,0.729609737,1.263380616,0.156627641,0.257681546,0.146629384,0.179176336,0.192998303,0.317569674
ICT goods exports (% of total goods exports),Australia,AUS,2.852188763,2.686933711,2.241106881,2.236679978,1.979845455,1.679849509,1.449087265,1.375853237,1.11078998,1.070662959,0.961811529,0.845926462,0.875956631,0.91618936,1.08033523,1.403723827,1.307327222,1.059667659,1.002858102
ICT goods exports (% of total goods exports),Austria,AUT,6.156330335,6.025432338,6.200127255,5.606243223,5.33073231,5.493209931,5.001344355,4.671349066,4.336939992,4.012334698,3.94819967,3.7939034,3.889467824,4.206127913,4.277068473,4.116075877,3.791092547,3.483219336,3.412147527
ICT goods exports (% of total goods exports),Azerbaijan,AZE,0.136390624,0.038965514,0.028519076,0.022852397,0.010438286,0.010153362,0.036672685,0.026938858,0.003861737,0.013193403,0.006571151,0.003807888,0.003032805,0.038362348,0.007817187,0.019239899,0.022704111,,0.022317699
ICT goods exports (% of total goods exports),Barbados,BRB,2.242226488,1.796745498,0.858963814,1.197632278,2.197134802,4.888007898,5.410737174,2.114216474,1.062092228,2.892177383,1.506133198,0.664384483,0.763920983,0.702672386,0.773014753,1.561882505,1.546737166,0.658799836,0.644179635
ICT goods exports (% of total goods exports),Belgium,BEL,6.129829215,6.018326131,4.510628383,4.545905413,4.18198384,3.855154509,3.320478923,2.698808986,2.583076937,2.495082728,2.334188957,2.19186281,2.057409748,1.736129144,1.752127408,2.078408192,2.001940962,1.918074245,1.711639874
ICT goods exports (% of total goods exports),Brazil,BRA,4.049211463,3.995738154,3.604242293,2.876485127,2.081763521,3.122688626,2.880396313,1.660689387,1.585738352,1.516676404,1.00704904,0.699902501,0.548029621,0.483388145,0.392889229,0.448920756,0.389612681,0.356943193,0.351852604
ICT goods exports (% of total goods exports),Bulgaria,BGR,0.793418744,0.940048077,1.502014535,1.736067064,1.368452518,1.515560165,1.378938191,1.916896221,2.174010385,3.016924865,2.468918957,2.128878949,1.956152668,2.345437447,2.515897109,2.896834515,2.852505401,2.754288862,3.252908325
ICT goods exports (% of total goods exports),Cameroon,CMR,0.003554656,0.019450112,0.02071594,0.027143819,0.031698235,0.030044566,0.017419822,0.016976135,0.064375663,0.105745919,0.021459673,0.043136585,0.022488566,0.029461999,0.028774268,0.025024581,0.030195459,0.049926244,
ICT goods exports (% of total goods exports),Canada,CAN,7.554093748,5.015918262,4.023676139,3.692528995,3.735134534,3.880085158,3.832815563,3.587910655,3.100938104,3.472304966,2.764499706,2.483449743,2.270378032,2.09293597,1.926766144,2.143929712,2.11795206,1.949702644,1.832025291
ICT goods exports (% of total goods exports),Chile,CHL,0.164702785,0.175476536,0.207033464,0.842522636,0.592919385,0.595441367,0.514931384,0.525137202,0.57308637,0.614005172,0.408019571,0.420449865,0.415419868,0.503331506,0.539400704,0.476298625,0.573469791,0.364495573,0.279330212
ICT goods exports (% of total goods exports),China,CHN,17.71036473,20.00051704,24.03083144,27.69449455,29.95698765,30.72185578,30.71959384,29.34072807,27.70852553,29.65105378,29.12490804,26.76018206,27.05557747,27.42211323,25.93897231,26.56307119,26.49762484,27.06861274,27.308182
ICT goods exports (% of total goods exports),Colombia,COL,0.117399502,0.161044822,0.210076583,0.230245562,0.303606919,0.247501393,0.255473009,0.147079063,0.149881345,0.222752624,0.149130648,0.097547674,0.121466727,0.154412167,0.17635286,0.235013369,0.284704145,0.251318167,0.213583367
ICT goods exports (% of total goods exports),Croatia,HRV,1.985894207,2.955894241,3.543357975,3.123551609,3.117129136,2.579829566,2.686535639,2.832854639,2.685477284,2.60200577,2.098566906,1.548419138,1.891518803,2.553966715,2.01220961,2.448730899,2.700975623,2.510345299,2.32967247
ICT goods exports (% of total goods exports),Czech Republic,CZE,4.591565999,7.733366086,11.62318071,10.68701915,12.02225951,11.08285221,12.95957313,13.90093208,14.11047923,14.44441558,15.01081963,15.32841501,14.53082221,13.11177214,13.41912734,13.53602683,12.71503835,13.33461022,15.10389429
ICT goods exports (% of total goods exports),Cyprus,CYP,1.610807434,2.114418698,1.992728809,1.795748294,10.75224586,24.99537778,14.43952386,6.205681168,6.807499413,8.979017643,9.165124505,5.640873064,3.481858079,3.882094995,2.930760155,3.555121435,4.801925384,4.906362357,4.473728578
ICT goods exports (% of total goods exports),Denmark,DNK,7.206514752,6.75364221,8.425372847,6.627111621,6.237452298,4.942920117,4.574816542,4.654893955,3.372239957,3.39007825,3.651673704,3.399055072,3.283082712,3.231924556,3.585232911,3.664505648,3.674130809,3.866969456,3.72245096
ICT goods exports (% of total goods exports),Ecuador,ECU,0.031286145,0.037562457,0.115446235,0.097991459,0.075673381,0.226198475,0.265725589,0.227081909,0.21020204,0.131983014,0.121400383,0.116168286,0.066693384,0.069992631,0.054876639,0.081933247,0.103360231,0.106374068,0.078747512
ICT goods exports (% of total goods exports),"Egypt, Arab Rep.",EGY,0.112015652,0.10573107,0.105951112,0.063428397,0.173119312,0.130469019,0.102868012,0.032326752,0.338879132,0.166407143,0.13505481,0.226806643,0.239719457,0.423876817,2.838077426,3.695358468,2.704415782,2.879933565,2.41229792
ICT goods exports (% of total goods exports),France,FRA,10.80616059,9.084953227,7.749961408,6.499469969,6.49355654,6.291307773,6.593913868,4.843067185,4.262739711,4.258015795,4.413966003,4.227837546,4.068206146,3.957944994,3.858361365,4.024153863,3.981576109,3.93331295,3.961566724
ICT goods exports (% of total goods exports),Germany,DEU,8.400429536,8.159438012,7.900164467,7.388271331,7.939482154,7.897369261,7.380703672,5.893793098,5.421205184,5.164963397,5.283167521,4.639753681,4.506822519,4.333128609,4.520062225,4.651619556,4.708548066,4.955060267,4.963000222
ICT goods exports (% of total goods exports),Greece,GRC,4.252325237,3.366641069,3.143015188,2.84261099,3.358613675,2.797166129,3.008346035,2.389831281,2.20724076,2.094831987,1.986514435,1.970194213,1.649392104,1.35563899,2.406057363,3.070629254,3.492342695,2.780081861,3.106289798
ICT goods exports (% of total goods exports),Hungary,HUN,25.74124201,23.75307806,25.64137206,25.34484742,28.2944599,25.60431048,24.09133642,22.51943449,22.66157542,25.99533107,25.58552733,21.57829452,17.44985724,14.7657967,11.91880809,11.62376417,11.38428683,11.183827,11.34240368
ICT goods exports (% of total goods exports),India,IND,1.685471626,1.956287673,1.559692076,1.611938214,1.425727608,1.108673226,1.108662997,1.074197444,0.973301949,3.450177114,1.998035608,2.182670486,1.980050891,1.591772775,0.973665883,0.889088309,0.952560212,0.86412471,1.182224848
ICT goods exports (% of total goods exports),Ireland,IRL,36.30279386,36.81884835,31.07007634,24.16277132,22.51190404,22.43110804,22.17743347,18.63670842,15.72546654,10.9514654,6.888884593,5.654810853,5.542126661,5.688986639,5.56039845,5.999509506,8.918395649,7.870097759,6.75634528
ICT goods exports (% of total goods exports),Iceland,ISL,0.106167965,0.090299731,0.067432633,0.108383504,0.072904333,0.101393078,0.156355357,0.156949025,0.1763943,0.06859769,0.074289888,0.067730444,0.165659141,0.102434246,0.152614305,0.184523312,0.148164256,0.169571978,0.176132254
ICT goods exports (% of total goods exports),Israel,ISR,12.88224706,11.95271313,9.083981721,10.6734365,9.879522789,7.505331926,7.538110271,2.717064332,10.27004612,16.38411232,12.28849153,10.68980904,11.70066155,11.84456729,11.18990953,14.32985999,11.73455846,10.76967263,11.60039286
ICT goods exports (% of total goods exports),Italy,ITA,4.448991833,4.344494085,3.634445693,3.28957165,3.240111257,3.105188713,2.727171757,2.227571672,1.943319917,2.019864792,2.154301261,2.104651719,1.864777504,1.745258163,1.670253237,1.897016263,1.864172863,1.894086366,1.990475213
ICT goods exports (% of total goods exports),Japan,JPN,22.70243071,20.35559346,19.8983232,19.3720779,18.44221554,16.94518946,15.94785334,13.16231879,11.83923172,12.08225539,10.67676944,9.228328437,9.146751005,8.644034262,8.368795933,8.519404709,8.313260744,8.350981065,8.107572426
ICT goods exports (% of total goods exports),"Korea, Rep.",KOR,34.4962605,29.82840893,32.9303075,33.70340007,33.30982729,29.99613942,26.47565434,25.49121815,21.40673372,21.87099029,21.40151489,17.9854902,17.16447117,19.14286381,19.78980953,21.71985521,22.27022903,24.74172965,27.84267972
ICT goods exports (% of total goods exports),Moldova,MDA,0.701523502,0.475111328,0.350174292,0.225342972,0.256762975,0.303343884,0.263229092,0.223408402,0.173557371,0.534192325,0.676862187,0.561561983,0.256826257,0.17384867,0.195568354,0.257362516,0.281121403,0.275302848,0.232798012
ICT goods exports (% of total goods exports),Morocco,MAR,6.856161077,5.695828079,6.716237065,7.373189431,6.902482174,6.039627642,6.035926571,5.129496653,3.239594446,4.121368647,3.772115394,3.258272014,3.0779025,2.86726671,2.709856797,2.206839052,2.247116421,2.13887397,2.100924505
ICT goods exports (% of total goods exports),Netherlands,NLD,17.87538266,15.32000895,13.00354038,16.10022551,16.85622962,16.78430353,15.5498367,14.1817875,11.57011384,12.36185513,12.45664143,11.91118062,10.52974916,10.33486068,10.82309523,11.31464818,10.74064166,10.49155114,10.7689887
ICT goods exports (% of total goods exports),Nepal,NPL,,,,,,,,,,0.033502856,0.40153745,0.15353661,0.003494578,0.066130436,0.01277781,0.001414004,0.04273733,0.631598572,
ICT goods exports (% of total goods exports),Nigeria,NGA,0.000303327,0.000293233,5.28E-06,0.001055993,,,0.000875217,0.000835636,0.001738659,0.01041388,0.004787202,0.016838207,0.003571777,0.01191469,0.001705623,,,0.000166762,6.43E-05
ICT goods exports (% of total goods exports),Norway,NOR,1.843898074,1.970239073,1.604795561,1.494342454,1.416681259,1.221832438,1.203991648,1.224364752,1.221827987,1.544369044,1.430521512,1.032231119,0.793723056,0.798798609,0.879425461,1.079946504,1.1117254,1.07988006,0.922665383
ICT goods exports (% of total goods exports),Pakistan,PAK,,,,0.128680119,0.152121904,0.512140355,0.614381799,0.53183859,0.428824677,0.192830951,0.198970549,0.236822273,0.240759694,0.233249534,0.193982063,0.241235762,0.304830328,0.195367927,0.157044977
ICT goods exports (% of total goods exports),Panama,PAN,0.000436415,0.086296511,0.115761031,0.090920545,0.190768173,0.072048251,14.30553786,11.57076534,11.30251759,8.170539605,9.599361137,7.873173662,8.729043263,7.401628929,7.47574277,7.220142201,8.706538678,,
ICT goods exports (% of total goods exports),Peru,PER,0.380735206,0.160234881,0.159686902,0.128290441,0.146933986,0.241350964,0.050198581,0.03802038,0.050131718,0.094567206,0.080390794,0.054626759,0.077368787,0.123431183,0.096959846,0.151172908,0.096501739,0.090930277,0.075323357
ICT goods exports (% of total goods exports),Paraguay,PRY,0.072851135,0.029010931,0.068032464,0.054366087,0.055309066,0.088340594,0.19909235,0.088712246,0.143444045,0.083210162,0.080038888,0.072867102,0.090287927,0.048959189,0.137544575,0.229235027,0.073428553,0.072180674,0.067544868
ICT goods exports (% of total goods exports),Poland,POL,4.096935111,4.519146741,4.860033196,4.38669506,3.821510336,3.980475756,5.036177247,5.662189491,6.952907686,9.373496801,9.625823517,7.043526268,7.037297789,6.736701812,7.737660301,8.11592233,7.139816017,6.916851288,6.907494055
ICT goods exports (% of total goods exports),Portugal,PRT,6.121913159,7.063228783,6.624070584,7.42673063,6.261699641,8.440362174,8.529960688,7.840927532,6.925983678,4.41237425,4.005694438,3.906044535,3.438730306,2.717533996,2.291638479,2.450441987,3.319214649,3.221262476,3.02533701
ICT goods exports (% of total goods exports),Philippines,PHL,38.82059184,40.51995711,39.86046066,38.0955508,37.32381421,47.67392291,47.76071008,33.70833974,30.58927088,36.41547444,26.76579456,22.74042607,29.47490957,26.91737662,34.61558474,42.90802623,43.2146039,35.86604515,38.31676571
ICT goods exports (% of total goods exports),Qatar,QAT,0.112594039,,0.117276217,0.072773217,0.030729755,0.030590594,0.03473005,0.041781614,,0.035438861,,,2.18E-06,1.23E-07,1.59E-05,0.07640625,0.000102697,3.54E-05,5.03E-05
ICT goods exports (% of total goods exports),Russian Federation,RUS,0.398748106,0.284728693,0.291198851,0.242754603,0.248542689,0.175327227,0.255763085,0.220873063,0.167478493,0.277510299,0.223375761,0.237297233,0.313036602,0.417815328,0.796785329,0.805552631,0.595100117,0.625231313,0.470804037
ICT goods exports (% of total goods exports),Saudi Arabia,SAU,0.028783579,0.037098265,0.037827848,0.028509173,0.039413467,0.067639132,0.07495793,0.077877887,0.081190469,0.184495819,0.112122686,0.110018877,0.123428715,0.218515794,0.115742847,0.160366792,0.224628733,0.147201692,0.09221889
ICT goods exports (% of total goods exports),Singapore,SGP,54.97448227,52.21655455,51.40330386,47.75079638,47.89021951,15.8823203,14.45642849,34.13978262,34.24130861,33.62079217,34.0829217,28.32777599,27.90691282,29.24572098,29.54327324,32.40094158,32.80219378,32.02107687,29.56570058
ICT goods exports (% of total goods exports),Slovenia,SVN,1.938260882,2.205436373,2.124651584,1.968064398,1.729774697,1.277011932,1.386991546,1.446872658,2.113939658,2.320074601,2.178098796,1.923524224,1.791626036,1.668427449,1.881058754,2.015001631,1.807057127,1.825316724,1.627857557
ICT goods exports (% of total goods exports),South Africa,ZAF,1.585895798,1.700137875,1.683466096,1.459146695,1.434304669,1.249876177,1.415565056,1.322100162,1.087874497,1.25712394,1.197813447,1.00957194,1.181125827,1.216467643,1.543359555,1.423547334,1.396223112,1.095497581,0.972613725
ICT goods exports (% of total goods exports),Spain,ESP,4.724931133,4.537322269,3.972090086,4.147458552,3.838365615,3.732677516,3.432335647,2.635744094,2.442275788,2.188497042,2.190781675,1.532128861,1.267373702,1.071438888,1.12931397,1.257399683,1.382294054,1.486993467,1.526232384
ICT goods exports (% of total goods exports),Switzerland,CHE,3.825525381,3.264509107,2.188607977,2.186826104,2.229038323,2.602720657,2.038865525,1.746133243,1.677623747,1.588787801,1.643003819,1.468473782,1.045050175,0.949813488,1.021055818,1.064391737,1.059860809,1.101689055,
ICT goods exports (% of total goods exports),Sweden,SWE,17.72987202,11.11937705,11.12507834,9.913524649,11.05635176,11.21789977,10.25675835,8.5960404,8.60880398,8.990238374,9.723437694,9.166805761,7.194115347,6.729933259,6.913501836,6.95298543,6.78225243,6.085975504,5.786098639
ICT goods exports (% of total goods exports),Turkey,TUR,3.686819843,3.368580648,4.482913296,4.207179305,4.647217031,4.391788684,3.715548763,2.688951437,1.823457269,1.979358765,1.837328261,1.654637422,1.733495743,1.453128532,1.521787747,1.468046665,1.347249019,1.254813339,1.177465974
ICT goods exports (% of total goods exports),United States,USA,20.04809765,17.60231628,16.07695983,15.84852993,15.23628486,14.29655151,13.53035477,11.71740258,10.61625756,10.70842047,10.55514221,9.509209268,9.031576768,8.876658024,8.965921416,9.438521658,9.647406463,9.475492969,8.896843214
ICT goods exports (% of total goods exports),United Kingdom,GBR,17.47355379,17.22033032,16.44177023,12.00894483,10.77806958,13.47503584,18.98607242,6.615009956,5.843405391,3.423055083,5.781858334,4.667375447,4.23628157,3.822563486,4.161652009,4.100875813,4.502104184,4.248458953,3.869627028
ICT goods exports (% of total goods exports),United Arab Emirates,ARE,,,,,,4.29856214,,2.717851168,1.950908955,,,,7.492708829,1.781735058,2.250996011,2.512777552,2.087658025,7.462055602,7.057946841
ICT goods exports (% of total goods exports),Uruguay,URY,0.13352109,0.103901246,0.203785183,0.114372228,0.116786673,0.131921002,0.11607471,0.104827586,0.088322429,0.086450448,0.045357505,0.059064586,0.092404756,0.080899485,0.103031118,0.148696152,0.111840925,0.126897534,0.106413134
ICT goods exports (% of total goods exports),Vietnam,VNM,5.417502748,4.139674884,3.36552624,3.960041007,2.662009772,2.771859841,3.268707516,4.94799436,4.738809257,5.802398828,7.909455551,11.63750249,18.23640143,24.53568983,23.97350264,29.37025543,31.2395335,33.44933209,
ICT goods imports (% total goods imports),Albania,ALB,3.33275957,8.049809804,4.33508887,3.168913665,3.515641467,3.781438789,3.508817798,3.23428515,3.369072911,4.7887694,4.113140733,3.579902835,2.967163189,2.966525286,1.019705872,3.583151337,2.941436505,1.172655178,1.857237654
ICT goods imports (% total goods imports),Algeria,DZA,4.299571423,3.615513724,4.794812157,6.767406281,6.93415932,7.915123709,5.883032858,4.601729719,4.665524759,3.719237874,2.963290784,3.352263374,4.025825747,4.151618919,5.078891184,5.380112012,5.181022071,4.869928719,
ICT goods imports (% total goods imports),Argentina,ARG,13.80579546,11.0354906,3.961275341,6.95978533,10.54227006,11.63913762,11.69904389,9.970750362,8.289044411,9.663045024,9.016255027,8.464597262,8.309859596,8.422575603,7.410883987,9.513952892,8.441388036,8.685844771,7.568001456
ICT goods imports (% total goods imports),Armenia,ARM,7.045722786,3.528055924,4.166051345,4.31580016,3.644761468,3.598092857,5.187687708,5.616420495,5.409194287,4.164936947,4.657173276,4.193539169,3.689268661,2.979077443,3.51214031,3.18999282,4.89535316,4.128316418,5.404423664
ICT goods imports (% total goods imports),Australia,AUS,15.06607879,13.07665302,12.05769618,11.80772888,12.37588643,11.41368906,11.33096799,10.42450986,8.91592424,10.26347206,10.36545621,9.827800908,8.888372292,8.862007349,9.175235694,9.985844191,9.997244889,9.543969942,10.35765967
ICT goods imports (% total goods imports),Austria,AUT,9.221149236,8.668268311,8.542787247,7.78608678,7.366109971,7.654344101,6.925957045,6.198800402,5.687564304,5.972454038,5.796071812,4.936106381,5.141428995,5.239941484,5.254426706,5.408129892,5.401484028,5.229814467,5.256453605
ICT goods imports (% total goods imports),Azerbaijan,AZE,8.160452977,5.517234951,4.382817977,3.289961569,3.469694105,4.612893326,4.329723673,3.867866475,3.527460268,5.441878522,3.46529431,3.458040033,3.314398147,2.41319662,2.965310291,2.840696679,2.744462416,,4.573992421
ICT goods imports (% total goods imports),Barbados,BRB,8.162800394,7.772467739,8.00382424,9.204131412,10.82108185,7.845976317,7.717393243,9.918703475,5.571352262,6.382604772,6.130736194,5.034157978,4.433257392,5.430627087,5.367180612,5.450292432,5.333923705,4.518443374,3.698052251
ICT goods imports (% total goods imports),Belgium,BEL,7.225605054,7.167709251,5.764860938,5.483441814,5.065544106,4.639221645,4.15421623,3.793277522,3.561517575,3.865426881,3.530765505,3.404014051,3.095875549,2.75396487,2.880150326,2.963598554,2.98913291,2.896181193,2.687160157
ICT goods imports (% total goods imports),Brazil,BRA,13.57814358,12.23057143,9.781174091,10.13315221,11.08670947,12.0950808,12.38395554,4.864288368,9.203148032,9.397056485,9.40969114,8.829134076,8.815148668,8.644774007,8.787389123,8.407663191,8.437637568,10.11304766,8.807381656
ICT goods imports (% total goods imports),Bulgaria,BGR,4.48829079,6.138030917,5.59741269,5.77388069,5.165970693,5.514146131,5.26236637,5.387396313,4.956364792,5.697726548,5.636153446,5.612704295,6.20417537,4.712890204,4.930265965,5.154167436,5.370512541,4.941907782,5.049767454
ICT goods imports (% total goods imports),Cameroon,CMR,2.797116114,2.753447141,2.855208012,4.302302452,4.211890196,3.202615136,2.607187346,3.491972587,4.01680087,3.754858095,2.555165091,2.775395552,2.706195552,3.65036512,4.206837465,3.395966749,7.598812296,3.394641878,
ICT goods imports (% total goods imports),Canada,CAN,13.08853947,10.93230118,9.566660803,9.04260807,9.330763337,9.068479001,8.763457412,8.298564105,7.944421085,8.415555141,8.430069514,7.985977744,7.322609116,7.296531621,6.875144007,7.122130743,7.075842253,7.234200263,7.234761488
ICT goods imports (% total goods imports),Chile,CHL,10.19168294,9.096379025,8.568338204,7.740150388,8.260318335,7.818365907,5.579954664,7.474735526,6.172543608,7.317466207,7.868395617,7.072254218,7.174044688,7.906166214,7.071947821,8.659492043,9.225022575,8.547987098,8.104955436
ICT goods imports (% total goods imports),China,CHN,20.19335553,21.01003069,23.17332393,24.04671654,23.81624743,25.28196067,26.06887442,24.54577259,21.18740811,21.89970533,20.39987603,17.9992439,19.55576406,20.54718938,19.70968641,23.34629226,23.75591962,22.71918832,22.67441293
ICT goods imports (% total goods imports),Colombia,COL,9.00385728,9.330762585,9.860828445,10.89385173,10.1260815,13.03728028,11.92449524,10.87936489,10.14282283,8.811075072,9.629864958,8.500468708,8.973108094,9.947490995,10.16657195,9.33287526,9.214740364,9.622768925,9.901729397
ICT goods imports (% total goods imports),Croatia,HRV,5.202338916,6.580568971,6.75888087,6.064442312,6.069163489,6.080409143,6.014507339,5.722377784,5.219381271,5.271130984,5.519889886,4.214896973,4.350658004,5.360079372,4.864283728,5.225574198,5.045960213,5.020104682,4.809207402
ICT goods imports (% total goods imports),Czech Republic,CZE,9.67182516,11.01328837,11.38836232,12.13741124,12.21318855,11.17872282,13.5561003,14.7353948,14.18520045,15.69664066,17.78695558,15.81583935,14.73108369,13.72494924,14.1135187,15.62960236,14.24347911,15.33235792,16.33082025
ICT goods imports (% total goods imports),Cyprus,CYP,6.92689908,6.044328774,5.720789849,6.40281147,7.16024064,10.78476331,7.461878395,5.20765362,4.664745005,5.187848556,4.689440327,4.55895157,4.10813882,4.44351697,3.608345432,3.875645989,3.5536486,3.437614976,3.501090052
ICT goods imports (% total goods imports),Denmark,DNK,12.42127768,11.54883082,12.73794758,11.35884355,10.94884705,10.29115493,9.507817552,8.636460368,7.200088175,7.862736405,7.95715605,7.893539557,8.073884494,7.354316876,7.221081503,7.679034083,7.722672669,7.556908261,7.040791913
ICT goods imports (% total goods imports),Ecuador,ECU,5.806184365,7.890161978,8.372411022,10.42650886,10.82923948,11.11718985,7.556796406,6.786788929,7.166402886,6.446309997,6.285583386,6.30959041,6.434029048,6.643583231,6.58401978,5.645519226,5.624649727,5.534726423,5.886755847
ICT goods imports (% total goods imports),"Egypt, Arab Rep.",EGY,4.171281221,4.621690802,4.139837982,3.868970766,3.327008421,4.41396574,4.208773229,4.288663187,3.698969375,3.225589577,3.748019889,3.542542662,3.429740058,3.551582159,4.222404682,4.47362519,4.110804179,3.992577508,5.039085221
ICT goods imports (% total goods imports),France,FRA,11.84774515,10.51458064,9.332976402,8.761001344,8.885424241,8.544923895,8.742414833,7.173973068,6.539269964,7.07368823,7.333433267,6.721941329,6.253252342,6.291329904,6.209418837,6.673410191,6.666894087,6.50699586,6.135607315
ICT goods imports (% total goods imports),Germany,DEU,11.6372883,12.48875802,12.15845411,11.01288661,11.27437151,11.50386171,10.92654019,8.860034623,8.420167427,8.798150159,9.542706361,8.00396293,7.842577211,7.359182823,7.742427343,8.439838042,8.499590373,8.777071489,8.552275007
ICT goods imports (% total goods imports),Greece,GRC,7.434020985,6.698538566,5.814352786,5.839774493,6.195632184,5.744178728,5.673085371,5.851148085,5.027014823,5.275359079,4.825814612,4.785151847,5.081312123,3.921334299,4.16713801,4.889671869,4.667709774,4.344252423,4.443652498
ICT goods imports (% total goods imports),Hungary,HUN,20.20675685,20.64535335,20.3097201,19.1252325,21.24396015,18.74580388,18.39369171,19.19984515,17.46710136,20.47553356,21.20007075,17.47813409,16.26547971,15.00243989,12.38380458,12.58051228,12.51846123,12.56372527,12.48238521
ICT goods imports (% total goods imports),India,IND,5.450758254,5.936395516,7.039299194,8.41673495,8.307327436,7.636875634,7.649593873,7.378689099,4.08829509,7.788600699,6.30845334,5.973562352,5.311031088,5.775121902,6.311804078,8.563985275,9.333340814,9.716543729,9.179398184
ICT goods imports (% total goods imports),Ireland,IRL,32.79922966,35.88065524,33.05630943,25.12721617,24.32504996,23.81041554,23.1739864,19.31035887,16.74957879,13.25069685,9.553327277,8.502649602,7.920776973,8.080146009,8.207155569,8.991704948,8.107776397,7.504183641,8.096703508
ICT goods imports (% total goods imports),Iceland,ISL,9.045349055,7.090166952,7.144545029,7.114774923,6.515591552,6.383526189,4.876051612,5.733175395,3.952918459,3.971237969,4.256543249,4.367727239,4.086531973,4.791194355,5.120298098,5.373033096,5.474099399,5.510677121,5.782430571
ICT goods imports (% total goods imports),Israel,ISR,14.12734489,11.48346402,9.846920356,9.251088058,10.40406919,9.747004098,9.569831748,8.476647192,7.845214309,9.723397666,9.201454123,8.725049423,8.856018048,8.757015173,8.999779903,11.46135255,10.87645304,8.943900322,8.885136878
ICT goods imports (% total goods imports),Italy,ITA,8.77829977,8.061191093,7.470322461,7.126774882,7.602463803,7.05080276,6.246465739,5.423770876,5.049697903,6.058860468,7.733180788,6.207051328,5.181580298,4.809037404,4.806316374,5.192681925,5.181593932,5.091199326,4.927446135
ICT goods imports (% total goods imports),Japan,JPN,16.19260499,15.24357115,14.82383745,14.50523316,14.48912488,13.47197812,12.38275895,11.46194169,9.683666691,11.36376822,11.98208252,10.13859864,10.24017861,10.89127722,11.26422334,12.79053614,13.01076743,13.00937217,11.93657777
ICT goods imports (% total goods imports),"Korea, Rep.",KOR,21.58792453,19.04914659,19.02187244,18.64536757,16.6481321,15.24898634,13.87442795,13.26387279,11.4762448,12.95487291,11.87982765,10.42792935,9.791520601,10.44382481,11.4157888,14.66513337,15.69569062,15.01891059,13.97320664
ICT goods imports (% total goods imports),Moldova,MDA,5.140043377,3.640680609,4.209629226,3.330554977,3.598061191,3.634762391,3.291872574,3.467004055,2.40719305,3.897647662,3.942870745,3.45044747,3.341023525,3.322360981,3.096379187,3.229738947,3.503047218,3.86708844,4.034416806
ICT goods imports (% total goods imports),Morocco,MAR,10.89935744,8.18339712,6.252736556,6.004360594,7.232655987,6.954829332,6.372733933,6.128102203,4.718051131,5.355135195,5.866302833,4.776565644,3.510357369,3.611015004,3.795860021,4.020810157,3.94416131,3.953919927,3.939292966
ICT goods imports (% total goods imports),Netherlands,NLD,20.49033224,17.90333329,14.674366,18.13649996,19.5916234,18.74464296,17.49366138,15.37130709,13.00180235,13.65850314,14.53870072,12.84826952,12.49318109,12.5554127,12.90276493,13.70525763,13.27332165,13.54838358,13.72572942
